Bitxo en 003, a la altura de 058.
Bitxo en 005, a la altura de 048.
Bitxo en 010, a la altura de 058.
Bitxo en 014, a la altura de 068.
Bitxo en 023, a la altura de 058.
Bitxo en 063, a la altura de 041.
Bitxo en 078, a la altura de 051.
Bitxo en 095, a la altura de 071.
Bitxo en 125, a la altura de 038.
Bitxo en 141, a la altura de 039.
Bitxo en 197, a la altura de 023.
Bitxo en 204, a la altura de 082.
Bitxo en 216, a la altura de 060.
Bitxo en 221, a la altura de 063.
Bitxo en 236, a la altura de 013.
Bitxo en 248, a la altura de 012.
Bitxo en 265, a la altura de 031.
Bitxo en 276, a la altura de 080.
Bitxo en 284, a la altura de 072.
Bitxo en 302, a la altura de 062.
Bitxo en 314, a la altura de 162.
Bitxo en 318, a la altura de 162.
Bitxo en 323, a la altura de 162.
Bitxo en 349, a la altura de 158.
Bitxo en 352, a la altura de 000.
Bitxo en 357, a la altura de 109.
Bitxo en 366, a la altura de 157.
Bitxo en 373, a la altura de 162.
Bitxo en 377, a la altura de 162.
Bitxo en 380, a la altura de 161.
Bitxo en 395, a la altura de 155.
Bitxo en 417, a la altura de 154.
Bitxo en 424, a la altura de 045.
Bitxo en 440, a la altura de 164.
Bitxo en 450, a la altura de 070.
Bitxo en 455, a la altura de 010.
Bitxo en 465, a la altura de 125.
Bitxo en 479, a la altura de 162.
Bitxo en 486, a la altura de 180.
Bitxo en 498, a la altura de 180.
Bitxo en 512, a la altura de 180.
Bitxo en 521, a la altura de 180.
Bitxo en 530, a la altura de 180.
Bitxo en 539, a la altura de 180.
Bitxo en 557, a la altura de 003.
Bitxo en 561, a la altura de 137.
Bitxo en 565, a la altura de 174.
Bitxo en 573, a la altura de 180.
Bitxo en 606, a la altura de 180.
Bitxo en 611, a la altura de 180.
Bitxo en 617, a la altura de 180.
